No.;Time;Source;Destination;Protocol;Length;Info
159;12.448503;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1989/50439, ttl=128 (reply in 160)
160;12.566340;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1989/50439, ttl=40 (request in 159)
170;13.470817;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1990/50695, ttl=128 (reply in 171)
171;13.610232;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1990/50695, ttl=40 (request in 170)
172;14.490871;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1991/50951, ttl=128 (reply in 173)
173;14.605530;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1991/50951, ttl=40 (request in 172)
181;15.513325;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1992/51207, ttl=128 (no response found!)
291;22.193910;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1993/51463, ttl=128 (reply in 294)
294;22.298265;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1993/51463, ttl=40 (request in 291)
306;23.214538;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1994/51719, ttl=128 (reply in 308)
308;23.322979;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1994/51719, ttl=40 (request in 306)
315;24.231340;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1995/51975, ttl=128 (reply in 316)
316;24.337786;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1995/51975, ttl=40 (request in 315)
324;25.250677;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1996/52231, ttl=128 (reply in 325)
325;25.370168;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1996/52231, ttl=40 (request in 324)
327;26.271014;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1997/52487, ttl=128 (reply in 329)
329;26.373088;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1997/52487, ttl=40 (request in 327)
335;27.286159;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1998/52743, ttl=128 (reply in 336)
336;27.398223;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1998/52743, ttl=40 (request in 335)
337;28.308387;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=1999/52999, ttl=128 (reply in 338)
338;28.413466;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=1999/52999, ttl=40 (request in 337)
347;29.330829;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2000/53255, ttl=128 (reply in 348)
348;29.436647;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2000/53255, ttl=40 (request in 347)
363;30.353654;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2001/53511, ttl=128 (reply in 364)
364;30.455542;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2001/53511, ttl=40 (request in 363)
365;31.373055;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2002/53767, ttl=128 (reply in 366)
366;31.477694;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2002/53767, ttl=40 (request in 365)
401;32.397578;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2003/54023, ttl=128 (reply in 405)
405;32.502329;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2003/54023, ttl=40 (request in 401)
410;33.418893;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2004/54279, ttl=128 (reply in 412)
412;33.520693;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2004/54279, ttl=40 (request in 410)
431;34.437627;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2005/54535, ttl=128 (reply in 433)
433;34.539561;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2005/54535, ttl=40 (request in 431)
442;35.458286;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2006/54791, ttl=128 (reply in 445)
445;35.559997;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2006/54791, ttl=40 (request in 442)
453;36.476202;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2007/55047, ttl=128 (reply in 454)
454;36.577963;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2007/55047, ttl=40 (request in 453)
458;37.493181;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2008/55303, ttl=128 (reply in 459)
459;37.599550;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2008/55303, ttl=40 (request in 458)
469;38.514624;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2009/55559, ttl=128 (reply in 471)
471;38.624697;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2009/55559, ttl=40 (request in 469)
485;39.535349;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2010/55815, ttl=128 (reply in 486)
486;39.637848;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2010/55815, ttl=40 (request in 485)
487;40.555573;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2011/56071, ttl=128 (reply in 488)
488;40.665426;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2011/56071, ttl=40 (request in 487)
489;41.579334;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2012/56327, ttl=128 (reply in 494)
494;41.685924;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2012/56327, ttl=40 (request in 489)
505;42.597445;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2013/56583, ttl=128 (reply in 507)
507;42.700675;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2013/56583, ttl=40 (request in 505)
510;43.616556;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2014/56839, ttl=128 (reply in 511)
511;43.724106;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2014/56839, ttl=40 (request in 510)
528;44.633596;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2015/57095, ttl=128 (reply in 529)
529;44.741076;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2015/57095, ttl=40 (request in 528)
536;45.653912;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2016/57351, ttl=128 (reply in 539)
539;45.765392;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2016/57351, ttl=40 (request in 536)
540;46.674417;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2017/57607, ttl=128 (reply in 541)
541;46.787295;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2017/57607, ttl=40 (request in 540)
550;47.693261;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2018/57863, ttl=128 (reply in 551)
551;47.801399;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2018/57863, ttl=40 (request in 550)
567;48.713681;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2019/58119, ttl=128 (reply in 568)
568;48.815849;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2019/58119, ttl=40 (request in 567)
570;49.730619;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2020/58375, ttl=128 (reply in 571)
571;49.831877;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2020/58375, ttl=40 (request in 570)
580;50.742875;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2021/58631, ttl=128 (reply in 581)
581;50.846805;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2021/58631, ttl=40 (request in 580)
589;51.762660;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2022/58887, ttl=128 (reply in 591)
591;51.867025;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2022/58887, ttl=40 (request in 589)
686;52.781137;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2023/59143, ttl=128 (reply in 697)
697;52.884312;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2023/59143, ttl=40 (request in 686)
722;53.798297;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2024/59399, ttl=128 (reply in 723)
723;53.903425;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2024/59399, ttl=40 (request in 722)
726;54.820975;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2025/59655, ttl=128 (reply in 727)
727;54.964556;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2025/59655, ttl=40 (request in 726)
737;55.843978;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2026/59911, ttl=128 (reply in 738)
738;55.960200;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2026/59911, ttl=40 (request in 737)
744;56.865622;192.168.0.102;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2027/60167, ttl=128 (reply in 745)
745;56.970491;8.8.8.8;192.168.0.102;ICMP;74;Echo (ping) reply    id=0x0001, seq=2027/60167, ttl=40 (request in 744)
1649;102.249635;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2031/61191, ttl=128 (reply in 1659)
1659;102.359096;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2031/61191, ttl=42 (request in 1649)
1714;103.257737;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2032/61447, ttl=128 (reply in 1722)
1722;103.365947;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2032/61447, ttl=42 (request in 1714)
1785;104.276595;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2038/62983, ttl=128 (reply in 1795)
1795;104.377203;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2038/62983, ttl=42 (request in 1785)
1838;105.296307;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2044/64519, ttl=128 (reply in 1846)
1846;105.403833;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2044/64519, ttl=42 (request in 1838)
1876;106.308696;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2050/520, ttl=128 (reply in 1878)
1878;106.418234;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2050/520, ttl=42 (request in 1876)
1894;107.328468;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2056/2056, ttl=128 (reply in 1897)
